loss,accuracy,val_loss,val_accuracy
1.1458,0.4700,0.9781,0.5820
0.8718,0.6287,0.7742,0.6480
0.7387,0.6776,0.7528,0.6420
0.6774,0.6996,0.7402,0.7120
0.6390,0.7325,0.6855,0.7180
0.6160,0.7384,0.6736,0.7260
0.6041,0.7485,0.6321,0.6980
0.5772,0.7544,0.6494,0.7200
0.5641,0.7612,0.6351,0.7360
0.5520,0.7671,0.6397,0.7380
0.5359,0.7764,0.6128,0.7520
0.5137,0.7797,0.5728,0.7380
0.5002,0.7907,0.5608,0.7700
0.4837,0.8059,0.5676,0.7500
0.4688,0.8118,0.5474,0.7880
0.4433,0.8211,0.5682,0.7560
0.4386,0.8287,0.5880,0.7260
0.4266,0.8312,0.5380,0.7840
0.4097,0.8422,0.5255,0.7800
0.3958,0.8565,0.5054,0.7920
0.3822,0.8523,0.5131,0.7980
0.3618,0.8549,0.5008,0.8080
0.3500,0.8717,0.5090,0.7760
0.3473,0.8776,0.4785,0.8040
0.3359,0.8734,0.4712,0.8060
0.3189,0.8928,0.4870,0.8100
0.3064,0.8895,0.5162,0.7960
0.2914,0.9021,0.4672,0.8200
0.2806,0.9072,0.4833,0.8040
0.2820,0.8970,0.4484,0.8180
0.2655,0.9072,0.4897,0.8120
0.2654,0.9030,0.4676,0.8220
0.2481,0.9165,0.5521,0.7860
0.2446,0.9013,0.4909,0.8280
0.2270,0.9173,0.4693,0.8240
0.2349,0.9165,0.4328,0.8400
0.2180,0.9215,0.4453,0.8440
0.2120,0.9173,0.4325,0.8420
0.2106,0.9173,0.5176,0.8100
0.1876,0.9367,0.4513,0.8480
0.1906,0.9333,0.4738,0.8240
0.1852,0.9316,0.4489,0.8360
0.1710,0.9392,0.4974,0.8260
0.1627,0.9426,0.5024,0.8200
0.1646,0.9468,0.4979,0.8300
0.1583,0.9468,0.4901,0.8300
0.1507,0.9544,0.4919,0.8340
0.1440,0.9519,0.4904,0.8440
0.1455,0.9477,0.5051,0.8280
0.1482,0.9409,0.4861,0.8400
0.1339,0.9519,0.5049,0.8460
0.1217,0.9662,0.4861,0.8520
0.1139,0.9620,0.4796,0.8420
0.1150,0.9620,0.4641,0.8460
0.1186,0.9595,0.4738,0.8480
0.1020,0.9722,0.4689,0.8480
0.1116,0.9612,0.5106,0.8540
0.0921,0.9738,0.6215,0.8360
0.0913,0.9713,0.5439,0.8360
0.1023,0.9696,0.5108,0.8360
0.0782,0.9806,0.5141,0.8520
0.0860,0.9722,0.5120,0.8540
0.0749,0.9738,0.5277,0.8560
0.0992,0.9679,0.5488,0.8240
0.0703,0.9823,0.5837,0.8160
0.0847,0.9772,0.5808,0.8420
0.0717,0.9823,0.6372,0.8220
0.0596,0.9882,0.5351,0.8560
0.0579,0.9890,0.5760,0.8520
0.0588,0.9857,0.5743,0.8400
0.0481,0.9899,0.5641,0.8600
0.0446,0.9932,0.5878,0.8480
0.0515,0.9916,0.5617,0.8640
0.0488,0.9890,0.5374,0.8560
0.0797,0.9755,0.5864,0.8420
0.0623,0.9831,0.7082,0.8120
0.0632,0.9806,0.5856,0.8380
0.0580,0.9823,0.5963,0.8520
0.0386,0.9924,0.6111,0.8460
0.0525,0.9831,0.5855,0.8580
0.0319,0.9958,0.5886,0.8560
0.0309,0.9949,0.5911,0.8560
0.0323,0.9949,0.6475,0.8460
0.0284,0.9958,0.6446,0.8520
0.0542,0.9857,0.6397,0.8460
0.0274,0.9949,0.6413,0.8580
0.0250,0.9966,0.6175,0.8560
0.0265,0.9941,0.7263,0.8300
0.0215,0.9983,0.6147,0.8680
0.0267,0.9949,0.6806,0.8500
0.0199,0.9983,0.6606,0.8480
0.0228,0.9975,0.6621,0.8480
0.0159,0.9975,0.6409,0.8560
0.0190,0.9983,0.7046,0.8480
0.0159,0.9992,0.6440,0.8600
0.0303,0.9924,0.6495,0.8500
0.0229,0.9958,0.6373,0.8480
0.0147,0.9983,0.6514,0.8580
0.0122,0.9992,0.6572,0.8540
0.0127,0.9992,0.6446,0.8560
